                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.7361,                 1.0646,                 1.1632,                0.80692,                0.85157,                0.88085,                 0.4191,                  1.658,                0.97076,                 1.1372,               0.027664,              0.0066643,              0.0066643
                     80,                 1.7446,                 1.0078,                 1.1581,                0.84055,                0.83049,                0.89195,                0.41746,                 1.7449,                 1.0533,                 1.1522,               0.026733,              0.0067328,              0.0067328
                     81,                 1.7146,                 1.0113,                 1.1527,                 0.7352,                0.83711,                0.85836,                0.38241,                 1.7931,                 1.1966,                  1.193,               0.025801,              0.0068009,              0.0068009
                     82,                 1.7468,                 1.0823,                  1.181,                0.85719,                0.91755,                0.92948,                0.49348,                 1.5022,                0.86023,                  1.085,               0.024869,              0.0068686,              0.0068686
                     83,                 1.6588,                 1.0468,                 1.1384,                0.84161,                0.85807,                0.90654,                0.46041,                 1.6041,                  1.089,                 1.1307,               0.023936,               0.006936,               0.006936
                     84,                 1.6962,                 1.0282,                 1.1542,                0.90226,                0.82941,                0.91496,                0.44712,                 1.6252,                0.92159,                  1.109,               0.023003,              0.0070029,              0.0070029
                     85,                 1.7071,                 1.0102,                 1.1318,                0.86525,                0.86329,                0.89351,                0.45854,                 1.5656,                 1.0253,                 1.1092,               0.022069,              0.0070694,              0.0070694
                     86,                  1.742,                 1.0006,                 1.1579,                0.85913,                0.87645,                0.89829,                0.42732,                 1.5952,                  1.019,                 1.1134,               0.021136,              0.0071356,              0.0071356
                     87,                 1.6166,                0.98048,                 1.1185,                0.81347,                0.86365,                0.90187,                0.45995,                 1.5827,                0.94246,                 1.1216,               0.020201,              0.0072013,              0.0072013
                     88,                 1.6611,                0.98266,                 1.1391,                0.88607,                0.87401,                0.91476,                0.47952,                 1.5482,                0.98554,                 1.0969,               0.019267,              0.0072667,              0.0072667
                     89,                 1.6384,                0.96237,                 1.1248,                0.82606,                0.85842,                0.88444,                0.45126,                  1.544,                0.96491,                  1.112,               0.018332,              0.0073316,              0.0073316
                     90,                  1.787,                 1.0465,                 1.1872,                0.81589,                0.84393,                 0.8973,                0.47472,                 1.5548,                 0.9376,                 1.1156,               0.017396,              0.0073962,              0.0073962
                     91,                 1.5961,                0.95478,                 1.1121,                0.65349,                0.63996,                0.64088,                0.23687,                 2.1013,                 1.3161,                 1.2956,                0.01646,              0.0074604,              0.0074604
                     92,                 1.6958,                 1.0002,                 1.1644,                0.87386,                0.88947,                0.91626,                0.46551,                 1.5648,                0.90582,                  1.107,               0.015524,              0.0075241,              0.0075241
                     93,                  1.673,                0.95074,                 1.1446,                  0.705,                0.61804,                0.69541,                 0.2594,                 2.1206,                 1.2867,                 1.3043,               0.014587,              0.0075875,              0.0075875
                     94,                 1.6651,                 1.0532,                 1.1587,                0.78265,                0.77083,                0.83366,                0.40587,                 1.6482,                 1.0343,                 1.1327,                0.01365,              0.0076505,              0.0076505
                     95,                 1.6269,                 1.0351,                 1.1066,                0.81947,                0.79797,                0.84308,                0.38178,                  1.744,                 1.0799,                 1.1465,               0.012713,              0.0077131,              0.0077131
                     96,                  1.596,                0.99167,                 1.1215,                0.83695,                0.85457,                0.89779,                0.46101,                  1.566,                0.88175,                 1.1092,               0.011775,              0.0077752,              0.0077752
