                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.6081,                0.91389,                 1.1103,                0.71007,                0.73907,                 0.7539,                0.30516,                 1.9327,                 1.0956,                 1.1989,              0.0057628,              0.0057628,              0.0057628
                    109,                 1.6091,                0.90546,                 1.0996,                0.75729,                0.81716,                0.84086,                0.42732,                 1.6144,                0.98104,                   1.11,              0.0057232,              0.0057232,              0.0057232
                    110,                 1.5617,                0.88215,                 1.1044,                0.80702,                 0.8534,                0.86948,                0.46295,                 1.5331,                 0.9018,                 1.1019,              0.0056836,              0.0056836,              0.0056836
                    111,                  1.648,                0.89744,                 1.1105,                0.75938,                0.82366,                0.84151,                 0.4256,                 1.5642,                0.96138,                 1.1075,               0.005644,               0.005644,               0.005644
                    112,                 1.5176,                0.86407,                 1.0778,                 0.7676,                0.80423,                 0.8241,                0.40471,                  1.698,                 1.2715,                 1.1479,              0.0056044,              0.0056044,              0.0056044
                    113,                 1.5778,                 1.0293,                 1.1061,                0.78552,                 0.8353,                 0.8458,                0.43259,                 1.5593,                0.96388,                  1.102,              0.0055648,              0.0055648,              0.0055648
                    114,                 1.4857,                 0.8388,                 1.0666,                0.76457,                 0.8615,                0.84849,                0.44833,                 1.4841,                 1.0834,                 1.0949,              0.0055252,              0.0055252,              0.0055252
                    115,                 1.5555,                  0.849,                 1.0796,                0.75755,                0.87659,                0.88107,                0.46876,                 1.5142,                0.97948,                 1.0856,              0.0054856,              0.0054856,              0.0054856
                    116,                 1.5031,                0.83691,                 1.0831,                0.83523,                0.89202,                0.89307,                0.47858,                 1.4781,                 0.9067,                 1.0735,               0.005446,               0.005446,               0.005446
                    117,                 1.6789,                0.89298,                 1.0928,                0.81298,                0.86094,                0.86523,                0.45885,                  1.496,                  1.049,                  1.092,              0.0054064,              0.0054064,              0.0054064
                    118,                 1.4899,                  0.869,                 1.0698,                0.78083,                0.85851,                0.88876,                0.46338,                 1.5526,                 1.0215,                 1.1021,              0.0053668,              0.0053668,              0.0053668
                    119,                 1.5721,                0.86801,                 1.0908,                0.82241,                0.87595,                0.91736,                0.50383,                 1.4966,                0.92867,                 1.0853,              0.0053272,              0.0053272,              0.0053272
                    120,                 1.5738,                0.88504,                 1.0996,                0.78752,                0.88337,                0.90209,                0.47918,                 1.5263,                0.92973,                 1.0985,              0.0052876,              0.0052876,              0.0052876
                    121,                 1.4777,                0.82913,                 1.0819,                 0.8006,                0.85258,                0.89414,                 0.4762,                 1.5128,                0.95544,                 1.0866,               0.005248,               0.005248,               0.005248
                    122,                 1.5232,                0.83698,                 1.0885,                0.84501,                0.83688,                0.88387,                0.48078,                 1.4846,                0.89563,                 1.0973,              0.0052084,              0.0052084,              0.0052084
                    123,                 1.4604,                0.79618,                 1.0826,                0.86473,                0.89749,                0.92331,                0.49889,                 1.5007,                0.88911,                 1.0776,              0.0051688,              0.0051688,              0.0051688
                    124,                 1.4971,                0.83417,                 1.0713,                 0.8118,                0.86934,                0.88932,                0.48208,                 1.4892,                0.85822,                 1.0893,              0.0051292,              0.0051292,              0.0051292
                    125,                 1.4721,                0.82499,                 1.0619,                0.84546,                0.86479,                0.90713,                0.47557,                  1.547,                0.88057,                 1.1053,              0.0050896,              0.0050896,              0.0050896
                    126,                 1.4882,                0.82021,                  1.064,                0.82286,                0.88657,                0.90693,                0.50443,                 1.4386,                0.81152,                 1.0721,                0.00505,                0.00505,                0.00505
                    127,                 1.4821,                0.81001,                 1.0665,                 0.8619,                 0.9087,                0.91834,                0.48206,                 1.5562,                0.82291,                 1.0858,              0.0050104,              0.0050104,              0.0050104
                    128,                 1.5357,                0.84129,                 1.0923,                0.88921,                 0.8644,                0.91046,                0.50576,                 1.4635,                0.79238,                 1.0756,              0.0049708,              0.0049708,              0.0049708
                    129,                 1.5201,                0.81024,                 1.0827,                0.88019,                 0.8969,                0.92141,                0.49253,                  1.524,                0.80723,                 1.0847,              0.0049312,              0.0049312,              0.0049312
                    130,                 1.4142,                0.79728,                 1.0538,                0.87295,                0.88066,                0.90861,                0.49829,                 1.4859,                0.81287,                 1.0711,              0.0048916,              0.0048916,              0.0048916
                    131,                 1.4811,                0.80987,                 1.0649,                0.85462,                0.90435,                0.91058,                0.49168,                 1.5555,                0.82509,                 1.0845,               0.004852,               0.004852,               0.004852
                    132,                 1.4239,                0.80703,                 1.0598,                0.85384,                0.86863,                0.91447,                0.47849,                 1.5189,                0.83032,                 1.0884,              0.0048124,              0.0048124,              0.0048124
                    133,                 1.4218,                0.78399,                  1.072,                0.86778,                0.89496,                0.93326,                0.51808,                  1.491,                0.80122,                 1.0698,              0.0047728,              0.0047728,              0.0047728
                    134,                 1.4474,                0.78259,                 1.0555,                 0.8391,                0.86205,                0.91728,                0.47641,                 1.5813,                0.84361,                 1.0932,              0.0047332,              0.0047332,              0.0047332
                    135,                 1.4903,                0.81236,                 1.0725,                0.85065,                0.87696,                0.90504,                0.45593,                 1.5962,                0.82391,                 1.1001,              0.0046936,              0.0046936,              0.0046936
                    136,                   1.51,                0.79093,                 1.0659,                 0.8655,                0.88497,                0.92247,                0.50422,                 1.4914,                0.78322,                 1.0721,               0.004654,               0.004654,               0.004654
                    137,                 1.4382,                0.79155,                 1.0668,                0.84047,                0.84867,                0.90763,                0.47787,                 1.5354,                0.88072,                 1.0803,              0.0046144,              0.0046144,              0.0046144
                    138,                 1.4874,                0.79497,                 1.0604,                0.83371,                0.87303,                0.91733,                0.48107,                  1.566,                0.83162,                 1.0851,              0.0045748,              0.0045748,              0.0045748
                    139,                 1.4719,                0.79103,                  1.059,                0.85633,                0.87063,                 0.9178,                0.49946,                 1.4966,                0.79787,                 1.0785,              0.0045352,              0.0045352,              0.0045352
                    140,                 1.4371,                0.77878,                 1.0455,                0.85543,                 0.8607,                0.91595,                  0.478,                 1.6183,                0.83565,                 1.0987,              0.0044956,              0.0044956,              0.0044956
                    141,                 1.4888,                0.78551,                 1.0719,                0.88112,                0.87045,                0.92494,                0.50591,                   1.48,                0.79323,                  1.075,               0.004456,               0.004456,               0.004456
                    142,                 1.4339,                 0.7699,                 1.0471,                0.88422,                0.88644,                0.92975,                0.50788,                  1.513,                0.78581,                 1.0651,              0.0044164,              0.0044164,              0.0044164
                    143,                 1.3938,                0.75571,                 1.0475,                0.89542,                0.87888,                0.93151,                0.51956,                 1.4582,                0.78429,                 1.0611,              0.0043768,              0.0043768,              0.0043768
                    144,                 1.3836,                0.74961,                 1.0287,                0.88829,                0.91136,                0.93491,                0.51367,                 1.5147,                0.76494,                 1.0637,              0.0043372,              0.0043372,              0.0043372
                    145,                 1.3855,                0.75637,                 1.0436,                0.87448,                0.91094,                 0.9332,                0.52259,                 1.4434,                0.74957,                 1.0517,              0.0042976,              0.0042976,              0.0042976
                    146,                   1.35,                0.73332,                 1.0373,                0.89343,                0.86797,                0.93387,                0.47707,                 1.6435,                0.81504,                 1.1027,               0.004258,               0.004258,               0.004258
                    147,                 1.4032,                0.76289,                  1.043,                 0.8736,                0.91536,                0.93441,                0.52662,                 1.4405,                0.75049,                 1.0492,              0.0042184,              0.0042184,              0.0042184
                    148,                  1.337,                 0.7274,                 1.0244,                0.85781,                0.86722,                0.91497,                 0.4756,                 1.5801,                0.79345,                 1.0881,              0.0041788,              0.0041788,              0.0041788
                    149,                 1.4049,                0.74443,                 1.0337,                0.88789,                 0.8786,                0.92597,                0.48117,                 1.6081,                0.79582,                  1.084,              0.0041392,              0.0041392,              0.0041392
                    150,                 1.3809,                0.77045,                 1.0229,                0.88444,                0.86268,                0.91937,                0.47999,                 1.5663,                0.78629,                 1.0811,              0.0040996,              0.0040996,              0.0040996
