                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 2.3763,                 1.3235,                 1.2138,                0.49375,                0.52464,                0.49139,                0.19417,                 2.2665,                 1.2667,                 1.3063,               0.012713,              0.0077131,              0.0077131
                     96,                 2.0296,                 1.1406,                 1.1845,                0.42332,                0.37768,                0.37011,                 0.1213,                  2.625,                   1.62,                 1.3601,               0.011775,              0.0077752,              0.0077752
                     97,                  2.311,                 1.2598,                 1.2088,                0.47238,                0.57301,                 0.5199,                0.20681,                 2.2261,                 1.2678,                 1.2626,               0.010837,               0.007837,               0.007837
                     98,                 2.6979,                 1.2812,                 1.1786,                0.23425,                0.35335,                0.25367,                0.07006,                 3.0454,                 1.7312,                  1.393,              0.0098984,              0.0078984,              0.0078984
                     99,                 2.9735,                 1.5359,                 1.3066,                0.33465,                0.43134,                0.35359,                0.12064,                 2.7016,                  1.336,                 1.3733,              0.0089594,              0.0079594,              0.0079594
                    100,                 2.5352,                 1.3626,                 1.1852,                0.40209,                  0.375,                0.36637,                0.14102,                 2.4448,                 1.6051,                 1.3711,                0.00802,                0.00802,                0.00802
                    101,                 2.5587,                 1.3408,                 1.1993,                0.39394,                 0.2779,                 0.2828,                0.09111,                 2.8219,                 1.5626,                 1.4437,                0.00802,                0.00802,                0.00802
                    102,                 2.3293,                 1.2299,                 1.1791,                0.40904,                0.25091,                0.27966,                0.11742,                 2.6043,                 2.0438,                 1.4737,              0.0080002,              0.0080002,              0.0080002
                    103,                 2.2794,                   1.31,                  1.235,                0.05062,                 0.0721,                0.03657,                0.01495,                  3.644,                   3.98,                 2.1113,              0.0079804,              0.0079804,              0.0079804
                    104,                  2.065,                  1.295,                 1.2294,                 0.3617,                0.22165,                0.26363,                0.10884,                 2.7496,                 2.0431,                   1.51,              0.0079606,              0.0079606,              0.0079606
                    105,                  2.005,                 1.1486,                 1.1851,                0.36538,                 0.0865,                0.12091,                0.03549,                 3.2585,                 2.4189,                 1.6103,              0.0079408,              0.0079408,              0.0079408
                    106,                 2.1853,                 1.4142,                 1.1375,                0.21867,                0.17726,                0.13878,                0.04909,                 2.9207,                 2.0478,                 1.5732,               0.007921,               0.007921,               0.007921
                    107,                 1.9624,                 1.3767,                 1.2159,                0.25624,                0.13261,                0.15324,                 0.0666,                 3.1541,                 2.1154,                 1.6722,              0.0079012,              0.0079012,              0.0079012
                    108,                 2.3639,                 1.1826,                 1.2095,                0.17013,                0.08107,                0.08133,                0.01891,                 3.4978,                 2.1905,                 1.6141,              0.0078814,              0.0078814,              0.0078814
                    109,                 2.2207,                 1.3228,                  1.131,                0.13183,                0.14112,                0.08333,                0.01915,                 3.5593,                 2.0775,                 1.5033,              0.0078616,              0.0078616,              0.0078616
                    110,                 2.1198,                 1.2634,                 1.1101,                0.38095,                0.38243,                0.33972,                  0.146,                 2.5057,                 1.5683,                  1.423,              0.0078418,              0.0078418,              0.0078418
                    111,                 2.6669,                 1.2603,                 1.1787,                0.38847,                0.23923,                0.27561,                0.07444,                 2.9613,                 2.1428,                 1.3973,               0.007822,               0.007822,               0.007822
                    112,                 2.1948,                  1.211,                 1.1473,                0.41989,                 0.2769,                0.31233,                 0.0938,                 2.8009,                 1.6779,                  1.412,              0.0078022,              0.0078022,              0.0078022
                    113,                 2.1843,                 1.1396,                  1.124,                 0.4837,                0.41884,                0.44373,                0.17635,                  2.428,                 1.6595,                 1.3092,              0.0077824,              0.0077824,              0.0077824
                    114,                 2.0831,                 1.1316,                 1.1637,                0.50496,                0.29248,                0.36058,                0.11317,                 2.6176,                 1.5101,                 1.3356,              0.0077626,              0.0077626,              0.0077626
                    115,                 2.6121,                 1.2049,                 1.1952,                0.41912,                0.50471,                0.43651,                 0.1597,                 2.4369,                 1.4372,                 1.2803,              0.0077428,              0.0077428,              0.0077428
                    116,                 2.4452,                 1.3897,                 1.1869,                 0.3078,                0.39185,                0.25397,                0.07633,                 2.6515,                 1.4873,                 1.3139,               0.007723,               0.007723,               0.007723
