                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 2.0153,                 1.0725,                  1.114,                0.64281,                 0.6171,                0.67635,                0.30525,                 1.9174,                 1.0984,                 1.1083,               0.041728,              0.0047283,              0.0047283
                     64,                 1.8465,                  1.033,                 1.0832,                0.60878,                0.53617,                0.60832,                0.22134,                 2.1973,                 1.1489,                 1.1286,               0.040778,               0.004778,               0.004778
                     65,                 2.1994,                 1.2176,                 1.1133,                0.62432,                0.61567,                 0.6616,                0.27984,                  2.001,                 1.1085,                   1.12,               0.039827,              0.0048269,              0.0048269
                     66,                 1.9024,                  1.187,                 1.0759,                0.50049,                0.58243,                0.56428,                0.19684,                 2.2881,                 1.2257,                 1.1621,               0.038875,               0.004875,               0.004875
                     67,                 2.1513,                 1.1042,                 1.1018,                0.60165,                0.59303,                0.66022,                 0.2791,                 1.9895,                 1.1191,                 1.1352,               0.037922,              0.0049224,              0.0049224
                     68,                 2.9109,                 1.3428,                 1.1901,                 0.2542,                0.34909,                0.24232,                 0.0629,                 3.1425,                  1.457,                 1.2444,               0.036969,              0.0049689,              0.0049689
                     69,                 2.4234,                 1.1732,                 1.0993,                0.69049,                 0.5221,                0.62723,                0.24951,                  2.158,                 1.1372,                 1.1688,               0.036015,              0.0050146,              0.0050146
                     70,                 1.7772,                0.97329,                 1.0757,                0.60812,                0.52663,                0.57958,                0.18532,                 2.3139,                 1.1707,                 1.1859,                0.03506,              0.0050596,              0.0050596
                     71,                 2.4647,                  1.165,                 1.1152,                 0.6864,                0.60471,                0.67915,                0.25126,                 2.0778,                 1.0972,                 1.1323,               0.034104,              0.0051038,              0.0051038
                     72,                 2.3398,                 1.1925,                 1.1344,                0.58023,                0.57835,                0.59855,                0.21929,                 2.3327,                 1.2003,                  1.132,               0.033147,              0.0051471,              0.0051471
                     73,                 2.1482,                 1.1135,                 1.1118,                0.54289,                0.64139,                0.65397,                0.25625,                 2.0402,                  1.138,                 1.1353,                0.03219,              0.0051897,              0.0051897
                     74,                 2.0717,                 1.0782,                 1.1001,                0.71464,                0.58681,                0.69126,                0.29784,                 1.9528,                 1.1304,                 1.0968,               0.031232,              0.0052315,              0.0052315
                     75,                 1.8159,                 1.0195,                 1.0722,                0.47465,                0.51884,                0.53292,                0.20678,                 2.1858,                 1.2821,                 1.2041,               0.030272,              0.0052725,              0.0052725
                     76,                 2.1748,                 1.0407,                 1.0779,                0.60288,                0.56766,                 0.6348,                0.28003,                 1.9725,                 1.1614,                 1.1432,               0.029313,              0.0053127,              0.0053127
